locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv1762c,,hypothetical protein,-,1995842,1996142,300,0.6633333333333333
Rv1765c,,hypothetical protein,-,1998515,1998815,300,0.6466666666666666
Rv1766,,hypothetical protein,+,1999436,1999736,300,0.5966666666666667
Rv1767,,hypothetical protein,+,2000006,2000073,67,0.5671641791044776
Rv1768,PE_PGRS31,PE-PGRS family protein PE_PGRS31,+,2000433,2000613,180,0.6833333333333333
Rv1769,,hypothetical protein,+,2002470,2002625,155,0.6129032258064516
Rv1772,,hypothetical protein,+,2006447,2006635,188,0.5957446808510638
Rv1773c,,transcriptional regulator,-,2007766,2007831,65,0.4
Rv1774,,oxidoreductase,+,2007766,2007831,65,0.4
Rv1776c,,transcriptional regulator,-,2010555,2010655,100,0.53
Rv1777,cyp144,cytochrome P450 Cyp144,+,2010555,2010655,100,0.53
Rv1778c,,hypothetical protein,-,2012530,2012685,155,0.5870967741935483
Rv1779c,,integral membrane protein,-,2014479,2014698,219,0.5981735159817352
Rv1780,,hypothetical protein,+,2014479,2014698,219,0.5981735159817352
Rv1781c,malQ,4-alpha-glucanotransferase,-,2017476,2017739,263,0.6083650190114068
Rv1782,eccB5,ESX-5 type VII secretion system protein EccB5,+,2017476,2017739,263,0.6083650190114068
Rv1785c,cyp143,cytochrome P450 Cyp143,-,2024628,2024827,199,0.6030150753768844
Rv1786,,ferredoxin,+,2024628,2024827,199,0.6030150753768844
Rv1787,PPE25,PPE family protein PPE25,+,2025031,2025300,269,0.5464684014869888
Rv1788,PE18,PE family protein PE18,+,2026398,2026476,78,0.5641025641025641
Rv1790,PPE27,PPE family protein PPE27,+,2028124,2028424,300,0.6366666666666667
Rv1791,PE19,PE family protein PE19,+,2029603,2029903,300,0.5666666666666667
Rv1793,esxN,ESAT-6 like protein EsxN,+,2030393,2030693,300,0.6066666666666667
Rv1794,,hypothetical protein,+,2030978,2031065,87,0.5862068965517241
Rv1795,eccD5,ESX-5 type VII secretion system protein EccD,+,2031968,2032239,271,0.5645756457564576
Rv1799,lppT,lipoprotein LppT,+,2038858,2039158,300,0.5333333333333333
Rv1800,PPE28,PPE family protein PPE28,+,2039350,2039452,102,0.6078431372549019
Rv1801,PPE29,PPE family protein PPE29,+,2041700,2042000,300,0.5966666666666667
Rv1802,PPE30,PPE family protein PPE30,+,2043272,2043383,111,0.6216216216216216
Rv1803c,PE_PGRS32,PE-PGRS family protein PE_PGRS32,-,2046842,2047022,180,0.55
Rv1804c,,hypothetical protein,-,2047349,2047649,300,0.59
Rv1808,PPE32,PPE family protein PPE32,+,2049620,2049920,300,0.5733333333333334
Rv1809,PPE33,PPE family protein PPE33,+,2051150,2051281,131,0.6259541984732825
Rv1810,,hypothetical protein,+,2052688,2052932,244,0.5450819672131147
Rv1811,mgtC,Mg2+ transport P-type ATPase MgtC,+,2053289,2053442,153,0.6666666666666666
Rv1812c,,dehydrogenase,-,2055359,2055659,300,0.6466666666666666
Rv1813c,,hypothetical protein,-,2056112,2056412,300,0.5966666666666667
Rv1814,erg3,membrane-bound C-5 sterol desaturase,+,2056220,2056520,300,0.5966666666666667
Rv1815,,hypothetical protein,+,2057423,2057527,104,0.625
Rv1816,,HTH-type transcriptional regulator,+,2058193,2058255,62,0.6129032258064516
Rv1817,,flavoprotein,+,2059294,2059594,300,0.6533333333333333
Rv1818c,PE_PGRS33,PE-PGRS family protein PE_PGRS33,-,2062674,2062808,134,0.6791044776119403
Rv1819c,bacA,vitamin B12 transport ATP-binding protein BacA,-,2064728,2064798,70,0.5571428571428572
Rv1820,ilvG,acetolactate synthase large subunit IlvG,+,2064728,2064798,70,0.5571428571428572
Rv1822,pgsA2,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,+,2068883,2069079,196,0.673469387755102
Rv1827,garA,glycogen accumulation regulator GarA,+,2072356,2072595,239,0.6610878661087866
Rv1829,,hypothetical protein,+,2073824,2073942,118,0.6440677966101694
Rv1830,,HTH-type transcriptional regulator,+,2074540,2074840,300,0.6466666666666666
Rv1831,,hypothetical protein,+,2075518,2075570,52,0.6730769230769231
Rv1836c,,hypothetical protein,-,2084636,2084755,119,0.7478991596638656
Rv1837c,glcB,malate synthase,-,2086981,2087256,275,0.6509090909090909
Rv1838c,vapC13,ribonuclease VapC13,-,2087652,2087952,300,0.6333333333333333
Rv1839c,vapB13,antitoxin VapB13,-,2087912,2087970,58,0.5689655172413793
Rv1840c,PE_PGRS34,PE-PGRS family protein PE_PGRS34,-,2089518,2089680,162,0.6604938271604939
Rv1842c,,hypothetical protein,-,2092085,2092258,173,0.6647398843930635
Rv1846c,blaI,transcriptional repressor BlaI,-,2096599,2096876,277,0.6137184115523465
Rv1847,,esterase,+,2096599,2096876,277,0.6137184115523465
Rv1849,ureB,urease subunit beta,+,2097346,2097646,300,0.6766666666666666
Rv1854c,ndh,NADH dehydrogenase,-,2103042,2103183,141,0.6312056737588653
Rv1856c,,oxidoreductase,-,2104823,2104984,161,0.5652173913043478
Rv1857,modA,molybdate ABC transporter substrate-binding lipoprotein ModA,+,2104823,2104984,161,0.5652173913043478
Rv1860,apa,hypothetical protein,+,2107683,2107735,52,0.6923076923076923
Rv1861,,transmembrane protein,+,2108864,2109164,300,0.6066666666666667
Rv1862,adhA,alcohol dehydrogenase A,+,2109470,2109543,73,0.6164383561643836
Rv1865c,,short-chain type dehydrogenase,-,2112966,2113139,173,0.6473988439306358
Rv1866,,hypothetical protein,+,2112966,2113139,173,0.6473988439306358
Rv1867,,hypothetical protein,+,2115476,2115763,287,0.6689895470383276
Rv1868,,hypothetical protein,+,2117248,2117346,98,0.6326530612244898
Rv1869c,,reductase,-,2120695,2120794,99,0.6464646464646465
Rv1870c,,hypothetical protein,-,2121430,2121494,64,0.71875
Rv1874,,hypothetical protein,+,2123611,2123683,72,0.6666666666666666
Rv1876,bfrA,bacterioferritin BfrA,+,2125039,2125339,300,0.6066666666666667
Rv1877,,MFS-type transporter,+,2125819,2125903,84,0.6190476190476191
Rv1878,glnA3,glutamine synthetase GlnA,+,2127967,2128021,54,0.6851851851851852
Rv1886c,fbpB,diacylglycerol acyltransferase/mycolyltransferase Ag85B,-,2135867,2136167,300,0.6
Rv1887,,hypothetical protein,+,2135957,2136257,300,0.62
Rv1890c,,hypothetical protein,-,2139687,2139740,53,0.6037735849056604
Rv1891,,hypothetical protein,+,2139687,2139740,53,0.6037735849056604
Rv1894c,,hypothetical protein,-,2141869,2142169,300,0.62
Rv1895,,zinc-binding alcohol dehydrogenase,+,2142220,2142520,300,0.6133333333333333
Rv1897c,,D-tyrosyl-tRNA(Tyr) deacylase,-,2144882,2144939,57,0.6491228070175439
Rv1898,,hypothetical protein,+,2144882,2144939,57,0.6491228070175439
Rv1902c,nanT,sialic acid-transport integral membrane protein NanT,-,2150274,2150363,89,0.7191011235955056
Rv1903,,membrane protein,+,2150274,2150363,89,0.7191011235955056
Rv1904,,hypothetical protein,+,2150768,2150953,185,0.572972972972973
Rv1906c,,hypothetical protein,-,2152895,2153195,300,0.6366666666666667
Rv1909c,furA,ferric uptake regulation protein FurA,-,2156592,2156705,113,0.584070796460177
Rv1910c,,hypothetical protein,-,2157299,2157381,82,0.5853658536585366
Rv1911c,lppC,lipoprotein LppC,-,2157987,2158086,99,0.5858585858585859
Rv1912c,fadB5,oxidoreductase FadB,-,2159091,2159190,99,0.5757575757575758
Rv1913,,hypothetical protein,+,2159091,2159190,99,0.5757575757575758
Rv1914c,,hypothetical protein,-,2160328,2160462,134,0.6268656716417911
Rv1915,aceAa,isocitrate lyase AceAa,+,2160328,2160462,134,0.6268656716417911
Rv1917c,PPE34,PPE family protein PPE34,-,2167311,2167611,300,0.5766666666666667
Rv1918c,PPE35,PPE family protein PPE35,-,2170612,2170912,300,0.4866666666666667
Rv1919c,,hypothetical protein,-,2171525,2171622,97,0.6804123711340206
Rv1920,,membrane protein,+,2171525,2171622,97,0.6804123711340206
Rv1921c,lppF,lipoprotein LppF,-,2173795,2174066,271,0.6051660516605166
Rv1922,,lipoprotein,+,2173795,2174066,271,0.6051660516605166
Rv1924c,,hypothetical protein,-,2176930,2177086,156,0.6410256410256411
Rv1925,fadD31,fatty-acid--CoA ligase FadD31,+,2176930,2177086,156,0.6410256410256411
Rv1926c,mpt63,immunogenic protein Mpt63,-,2179436,2179672,236,0.5932203389830508
Rv1927,,hypothetical protein,+,2179436,2179672,236,0.5932203389830508
Rv1931c,,transcriptional regulator,-,2183239,2183371,132,0.6742424242424242
Rv1932,tpx,2-Cys peroxiredoxin,+,2183239,2183371,132,0.6742424242424242
Rv1935c,echA13,enoyl-CoA hydratase EchA13,-,2187159,2187383,224,0.5357142857142857
Rv1936,,monooxygenase,+,2187159,2187383,224,0.5357142857142857
Rv1944c,,hypothetical protein,-,2195934,2195988,54,0.5925925925925926
Rv1945,,hypothetical protein,+,2195934,2195988,54,0.5925925925925926
Rv1946c,lppG,lipoprotein,-,2197960,2198023,63,0.7619047619047619
Rv1947,,hypothetical protein,+,2197960,2198023,63,0.7619047619047619
Rv1948c,,hypothetical protein,-,2199064,2199364,300,0.6233333333333333
Rv1951c,,hypothetical protein,-,2200486,2200725,239,0.602510460251046
Rv1952,vapB14,antitoxin VapB14,+,2200486,2200725,239,0.602510460251046
Rv1953,vapC14,ribonuclease VapC14,+,2200637,2200937,300,0.6366666666666667
Rv1959c,parE1,toxin ParE1,-,2203977,2204211,234,0.6794871794871795
Rv1961,,hypothetical protein,+,2203977,2204211,234,0.6794871794871795
Rv1963c,mce3R,transcriptional repressor Mce3R,-,2206802,2207102,300,0.56
Rv1964,yrbE3A,integral membrane protein,+,2207399,2207699,300,0.6
Rv1976c,,hypothetical protein,-,2219251,2219551,300,0.59
Rv1977,,hypothetical protein,+,2219453,2219753,300,0.5966666666666667
Rv1978,,hypothetical protein,+,2220800,2220907,107,0.6822429906542056
Rv1979c,,permease,-,2223164,2223342,178,0.6292134831460674
Rv1980c,mpt64,immunogenic protein Mpt64,-,2224029,2224219,190,0.6421052631578947
Rv1981c,nrdF1,ribonucleoside-diphosphate reductase subunit beta NrdF1,-,2225188,2225412,224,0.5714285714285714
Rv1982A,vapB36,antitoxin VapB36,-,2226101,2226243,142,0.5704225352112676
Rv1983,PE_PGRS35,PE-PGRS family protein PE_PGRS35,+,2226101,2226243,142,0.5704225352112676
Rv1984c,cfp21,cutinase,-,2228561,2228675,114,0.6754385964912281
RV1984a,,hypothetical protein,+,2228561,2228675,114,0.6754385964912281
Rv1985c,,HTH-type transcriptional regulator,-,2229902,2230010,108,0.42592592592592593
Rv1986,,amino acid transporter,+,2229902,2230010,108,0.42592592592592593
Rv1987,,chitinase,+,2230725,2231025,300,0.6333333333333333
Rv1988,erm(37),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(37),+,2231454,2231679,225,0.6355555555555555
Rv1990c,,transcriptional regulator,-,2233637,2233937,300,0.6233333333333333
Rv1991c,mazF6,mRNA interferase MazF6,-,2234649,2234949,300,0.5833333333333334
Rv1991A,mazE6,antitoxin MazE6,-,2234891,2234990,99,0.5252525252525253
Rv1992c,ctpG,cation transporter ATPase G,-,2237306,2237606,300,0.7033333333333334
Rv1993c,,hypothetical protein,-,2237575,2237627,52,0.5192307692307693
Rv1994c,cmtR,HTH-type transcriptional regulator CmtR,-,2237984,2238140,156,0.5192307692307693
Rv1995,,hypothetical protein,+,2237984,2238140,156,0.5192307692307693
Rv1996,,universal stress protein,+,2238908,2239003,95,0.6
Rv1997,ctpF,cation transporter ATPase F,+,2239957,2240158,201,0.6766169154228856
Rv1998c,,hypothetical protein,-,2243721,2243815,94,0.6382978723404256
Rv1999c,,transporter,-,2245138,2245208,70,0.5571428571428572
Rv2000,,hypothetical protein,+,2245138,2245208,70,0.5571428571428572
Rv2002,fabG3,3-alpha(or 20-beta)-hydroxysteroid dehydrogenase,+,2247584,2247659,75,0.6
Rv2003c,,hypothetical protein,-,2249420,2249477,57,0.543859649122807
Rv2005c,,universal stress protein,-,2251883,2252001,118,0.576271186440678
Rv2006,otsB1,trehalose-6-phosphate phosphatase OtsB,+,2251883,2252001,118,0.576271186440678
Rv2007c,fdxA,ferredoxin,-,2256428,2256616,188,0.6117021276595744
Rv2008c,,hypothetical protein,-,2257942,2258029,87,0.5517241379310345
Rv2009,vapB15,antitoxin VapB15,+,2257942,2258029,87,0.5517241379310345
Rv2015c,,hypothetical protein,-,2263072,2263372,300,0.6433333333333333
Rv2016,,hypothetical protein,+,2263125,2263425,300,0.6233333333333333
Rv2018,,hypothetical protein,+,2265038,2265279,241,0.5933609958506224
Rv2023c,,hypothetical protein,-,2268108,2268408,300,0.5466666666666666
Rv2024c,,hypothetical protein,-,2270240,2270540,300,0.58
Rv2025c,,cation efflux system protein,-,2271748,2271862,114,0.5701754385964912
Rv2027c,dosT,two component sensor histidine kinase DosT,-,2274508,2274568,60,0.5833333333333334
Rv2031c,hspX,alpha-crystallin,-,2278932,2279128,196,0.5867346938775511
Rv2032,acg,NAD(P)H nitroreductase,+,2278932,2279128,196,0.5867346938775511
Rv2033c,,hypothetical protein,-,2281082,2281293,211,0.6066350710900474
Rv2034,,ArsR family HTH-type transcriptional repressor,+,2281082,2281293,211,0.6066350710900474
Rv2044c,,hypothetical protein,-,2289599,2289684,85,0.5647058823529412
Rv2048c,pks12,polyketide synthase,-,2306986,2307286,300,0.6233333333333333
Rv2049c,,hypothetical protein,-,2307517,2307817,300,0.6833333333333333
Rv2050,,RNA polymerase-binding protein RbpA,+,2307520,2307820,300,0.6833333333333333
Rv2051c,ppm1,polyprenol-monophosphomannose synthase,-,2310755,2310912,157,0.7961783439490446
Rv2053c,fxsA,transmembrane protein FxsA,-,2313049,2313124,75,0.6533333333333333
Rv2054,,hypothetical protein,+,2313049,2313124,75,0.6533333333333333
Rv2057c,rpmG1,50S ribosomal protein L33,-,2314825,2315125,300,0.6133333333333333
Rv2058c,rpmB2,50S ribosomal protein L28,-,2315061,2315173,112,0.48214285714285715
Rv2059,,hypothetical protein,+,2315061,2315173,112,0.48214285714285715
Rv2061c,,hypothetical protein,-,2317085,2317168,83,0.6867469879518072
Rv2062c,cobN,cobalamin biosynthesis protein CobN,-,2320753,2320830,77,0.5974025974025974
Rv2063,mazE7,antitoxin MazE7,+,2320753,2320830,77,0.5974025974025974
Rv2063A,mazF7,mRNA interferase MazF7,+,2320756,2321056,300,0.66
Rv2068c,blaC,beta-lactamase,-,2326809,2326943,134,0.6791044776119403
Rv2069,sigC,ECF RNA polymerase sigma factor SigC,+,2326809,2326943,134,0.6791044776119403
Rv2072c,cobL,"precorrin-6Y C(5,15)-methyltransferase",-,2330146,2330213,67,0.7611940298507462
Rv2075c,,hypothetical protein,-,2332879,2333036,157,0.6114649681528662
Rv2077A,,hypothetical protein,-,2334594,2334894,300,0.6333333333333333
Rv2078,,hypothetical protein,+,2334758,2335058,300,0.6366666666666667
Rv2079,,hypothetical protein,+,2335054,2335354,300,0.6266666666666667
Rv2081c,,transmembrane protein,-,2338505,2338708,203,0.5862068965517241
Rv2082,,hypothetical protein,+,2338505,2338708,203,0.5862068965517241
Rv2085,,hypothetical protein,+,2342944,2343026,82,0.6219512195121951
Rv2086,,hypothetical protein,+,2343010,2343310,300,0.6333333333333333
Rv2088,pknJ,transmembrane serine/threonine-protein kinase PknJ,+,2344110,2344410,300,0.6233333333333333
Rv2094c,tatA,Sec-independent protein translocase membrane-bound protein TatA,-,2353297,2353364,67,0.6417910447761194
Rv2097c,pafA,proteasome accessory factor PafA,-,2356677,2356977,300,0.7833333333333333
Rv2100,,hypothetical protein,+,2358088,2358388,300,0.6566666666666666
Rv2101,helZ,helicase HelZ,+,2360041,2360239,198,0.6212121212121212
Rv2102,,hypothetical protein,+,2363281,2363390,109,0.7155963302752294
Rv2104a,,hypothetical protein,-,2365054,2365354,300,0.6266666666666667
Rv2107,PE22,PE family protein PE22,+,2367058,2367358,300,0.5433333333333333
Rv2108,PPE36,PPE family protein PPE36,+,2367655,2367710,55,0.5454545454545454
Rv2110c,prcB,proteasome subunit beta,-,2370601,2370901,300,0.6433333333333333
Rv2111c,pup,ubiquitin-like protein Pup,-,2370792,2370904,112,0.6339285714285714
Rv2112c,dop,pup deamidase/depupylase,-,2372569,2372629,60,0.75
Rv2113,,integral membrane protein,+,2372569,2372629,60,0.75
Rv2115c,mpa,proteasome-associated ATPase,-,2376290,2376570,280,0.625
Rv2116,lppK,lipoprotein LppK,+,2376290,2376570,280,0.625
Rv2118c,,tRNA (adenine(58)-N(1))-methyltransferase,-,2378312,2378385,73,0.7123287671232876
Rv2119,,hypothetical protein,+,2378312,2378385,73,0.7123287671232876
Rv2120c,,integral membrane protein,-,2379727,2379805,78,0.6410256410256411
Rv2122c,hisE,phosphoribosyl-ATP pyrophosphatase,-,2380944,2381070,126,0.5873015873015873
Rv2123,PPE37,PPE family protein PPE37,+,2380944,2381070,126,0.5873015873015873
Rv2124c,metH,methionine synthase,-,2386067,2386292,225,0.6266666666666667
Rv2125,,hypothetical protein,+,2386067,2386292,225,0.6266666666666667
Rv2126c,PE_PGRS37,PE-PGRS family protein PE_PGRS37,-,2387972,2388272,300,0.6933333333333334
Rv2127,ansP1,L-asparagine permease,+,2388315,2388615,300,0.6033333333333334
Rv2130c,mshC,cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase,-,2392459,2392516,57,0.6666666666666666
Rv2131c,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ",-,2393320,2393410,90,0.4666666666666667
Rv2132,,hypothetical protein,+,2393320,2393410,90,0.4666666666666667
Rv2134c,,hypothetical protein,-,2395237,2395300,63,0.6507936507936508
Rv2136c,,undecaprenyl-diphosphatase,-,2396838,2396901,63,0.746031746031746
Rv2139,pyrD,dihydroorotate dehydrogenase,+,2398419,2398719,300,0.6833333333333333
Rv2141c,,hypothetical protein,-,2401722,2402022,300,0.67
Rv2142c,parE2,toxin ParE2,-,2402510,2402810,300,0.61
Rv2142A,parD2,antitoxin ParD2,-,2402722,2402976,254,0.6220472440944882
Rv2143,,hypothetical protein,+,2402722,2402976,254,0.6220472440944882
Rv2144c,,transmembrane protein,-,2404521,2404615,94,0.6595744680851063
Rv2145c,wag31,cell wall synthesis protein Wag31,-,2405398,2405665,267,0.5280898876404494
Rv2146c,,transmembrane protein,-,2405956,2406117,161,0.6708074534161491
Rv2150c,ftsZ,cell division protein FtsZ,-,2409524,2409696,172,0.563953488372093
Rv2159c,,hypothetical protein,-,2421665,2421965,300,0.7233333333333334
Rv2161c,,hypothetical protein,-,2423137,2423239,102,0.6470588235294118
Rv2162c,PE_PGRS38,PE-PGRS family protein PE_PGRS38,-,2424838,2425047,209,0.5933014354066986
Rv2166c,,transcriptional regulator MraZ,-,2429858,2430158,300,0.6166666666666667
Rv2169c,,transmembrane protein,-,2431969,2432234,265,0.6264150943396226
Rv2170,,GCN5-like N-acetyltransferase,+,2431969,2432234,265,0.6264150943396226
Rv2171,lppM,lipoprotein LppM,+,2432855,2432950,95,0.6947368421052632
Rv2172c,,hypothetical protein,-,2434536,2434836,300,0.64
Rv2173,idsA2,geranylgeranyl pyrophosphate synthetase IdsA,+,2434546,2434846,300,0.64
Rv2175c,,DNA-binding protein,-,2437886,2437940,54,0.6481481481481481
Rv2176,pknL,serine/threonine-protein kinase PknL,+,2437886,2437940,54,0.6481481481481481
Rv2177c,,transposase,-,2439947,2440247,300,0.6266666666666667
Rv2178c,aroG,phospho-2-dehydro-3-deoxyheptonate aldolase AroG,-,2441720,2441810,90,0.6666666666666666
Rv2180c,,integral membrane protein,-,2443214,2443301,87,0.5977011494252874
Rv2181,,alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase,+,2443214,2443301,87,0.5977011494252874
Rv2182c,,1-acylglycerol-3-phosphate O-acyltransferase,-,2445329,2445414,85,0.7058823529411765
Rv2184c,,hypothetical protein,-,2446946,2447065,119,0.6722689075630253
Rv2185c,TB16.3,hypothetical protein,-,2447500,2447604,104,0.6634615384615384
Rv2186c,,hypothetical protein,-,2447994,2448159,165,0.6121212121212121
Rv2187,fadD15,long-chain-fatty-acid--CoA ligase FadD15,+,2447994,2448159,165,0.6121212121212121
Rv2188c,pimB,alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,-,2451150,2451246,96,0.625
Rv2189c,,hypothetical protein,-,2452020,2452114,94,0.6702127659574468
Rv2190c,,endopeptidase,-,2453272,2453572,300,0.5566666666666666
Rv2191,,hypothetical protein,+,2453518,2453818,300,0.6733333333333333
Rv2192c,trpD,anthranilate phosphoribosyltransferase,-,2456743,2456900,157,0.5732484076433121
Rv2193,ctaE,cytochrome C oxidase subunit III,+,2456743,2456900,157,0.5732484076433121
Rv2198c,mmpS3,membrane protein MmpS3,-,2463047,2463232,185,0.6216216216216216
Rv2200c,ctaC,cytochrome C oxidase subunit II,-,2464751,2464996,245,0.6857142857142857
Rv2201,asnB,asparagine synthetase,+,2464751,2464996,245,0.6857142857142857
Rv2202c,adoK,adenosine kinase,-,2468027,2468230,203,0.625615763546798
Rv2203,,membrane protein,+,2468027,2468230,203,0.625615763546798
Rv2204c,,hypothetical protein,-,2469287,2469386,99,0.5858585858585859
Rv2205c,,hypothetical protein,-,2470463,2470621,158,0.6645569620253164
Rv2206,,transmembrane protein,+,2470463,2470621,158,0.6645569620253164
Rv2207,cobT,nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase,+,2471332,2471410,78,0.6538461538461539
Rv2209,,integral membrane protein,+,2473242,2473399,157,0.5987261146496815
Rv2210c,ilvE,branched-chain amino acid aminotransferase,-,2475970,2476041,71,0.647887323943662
Rv2214c,ephD,oxidoreductase EphD,-,2481701,2481964,263,0.6692015209125475
Rv2215,dlaT,pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase,+,2481701,2481964,263,0.6692015209125475
Rv2217,lipB,octanoyltransferase,+,2484531,2484583,52,0.6923076923076923
Rv2219A,,membrane protein,-,2487416,2487614,198,0.6262626262626263
Rv2220,glnA1,glutamine synthetase,+,2487416,2487614,198,0.6262626262626263
Rv2222c,glnA2,glutamine synthetase,-,2493742,2493836,94,0.6170212765957447
Rv2223c,,carboxylesterase B,-,2495399,2495460,61,0.5901639344262295
Rv2224c,caeA,carboxylesterase A,-,2497023,2497224,201,0.6865671641791045
Rv2224d,,hypothetical protein,-,2497446,2497741,295,0.6305084745762712
Rv2225,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,+,2497446,2497741,295,0.6305084745762712
Rv2226,,hypothetical protein,+,2498587,2498831,244,0.6762295081967213
Rv2227,,hypothetical protein,+,2500630,2500930,300,0.6366666666666667
Rv2232,ptkA,protein tyrosine kinase transcriptional regulator PtkA,+,2506161,2506277,116,0.6637931034482759
Rv2236c,cobD,cobalamin biosynthesis transmembrane protein CobD,-,2509375,2509488,113,0.6106194690265486
Rv2237,,hypothetical protein,+,2509375,2509488,113,0.6106194690265486
Rv2237A,,hypothetical protein,-,2510587,2510714,127,0.6614173228346457
Rv2240c,,hypothetical protein,-,2512280,2512538,258,0.6550387596899225
Rv2241,aceE,pyruvate dehydrogenase E1 component,+,2512280,2512538,258,0.6550387596899225
Rv2242,,hypothetical protein,+,2515244,2515303,59,0.5932203389830508
Rv2243,fabD,malonyl CoA-acyl carrier protein transacylase,+,2516548,2516786,238,0.5252100840336135
Rv2244,acpM,meromycolate extension acyl carrier protein,+,2517695,2517770,75,0.5066666666666667
Rv2248,,hypothetical protein,+,2522164,2522359,195,0.6615384615384615
Rv2250c,,HTH-type transcriptional regulator,-,2525354,2525564,210,0.6571428571428571
Rv2251,,flavoprotein,+,2525354,2525564,210,0.6571428571428571
Rv2253,,hypothetical protein,+,2527918,2527983,65,0.6
Rv2256a,,hypothetical protein,-,2529174,2529340,166,0.6506024096385542
Rv2256c,,hypothetical protein,-,2529874,2530003,129,0.5271317829457365
Rv2258c,,transcriptional regulator,-,2531897,2532197,300,0.66
Rv2259,mscR,S-nitrosomycothiol reductase MscR,+,2531944,2532244,300,0.6533333333333333
Rv2263,,oxidoreductase,+,2535340,2535640,300,0.67
Rv2264c,,hypothetical protein,-,2538350,2538650,300,0.6333333333333333
Rv2265,,integral membrane protein,+,2538399,2538699,300,0.6133333333333333
Rv2266,cyp124,cytochrome P450 Cyp124,+,2539929,2540103,174,0.6091954022988506
Rv2269c,,hypothetical protein,-,2544621,2544697,76,0.5526315789473685
Rv2270,lppN,lipoprotein LppN,+,2544621,2544697,76,0.5526315789473685
Rv2271,,hypothetical protein,+,2545225,2545331,106,0.5943396226415094
Rv2272,,transmembrane protein,+,2545631,2545736,105,0.5904761904761905
Rv2275,,cyclo(L-tyrosyl-L-tyrosyl) synthase,+,2546805,2546882,77,0.5844155844155844
Rv2277c,,glycerolphosphodiesterase,-,2550029,2550329,300,0.6566666666666666
Rv2281,pitB,phosphate permease,+,2552872,2553172,300,0.6266666666666667
Rv2282c,,LysR family HTH-type transcriptional regulator,-,2555876,2555940,64,0.515625
Rv2283,,hypothetical protein,+,2555876,2555940,64,0.515625
Rv2286c,,hypothetical protein,-,2559569,2559702,133,0.6165413533834586
Rv2287,yjcE,Na(+)/H(+) transporter,+,2559569,2559702,133,0.6165413533834586
Rv2290,lppO,lipoprotein LppO,+,2562457,2562598,141,0.6453900709219859
Rv2291,sseB,thiosulfate sulfurtransferase SseB,+,2563114,2563173,59,0.5932203389830508
Rv2293c,,hypothetical protein,-,2565032,2565326,294,0.5544217687074829
Rv2294,,cystathionine beta-lyase,+,2565032,2565326,294,0.5544217687074829
Rv2295,,hypothetical protein,+,2566550,2566771,221,0.6470588235294118
Rv2296,,haloalkane dehalogenase,+,2567410,2567503,93,0.6129032258064516
Rv2298,,oxidoreductase,+,2568890,2569081,191,0.6649214659685864
Rv2299c,htpG,chaperone protein HtpG,-,2572002,2572075,73,0.6301369863013698
Rv2302,,hypothetical protein,+,2573707,2573812,105,0.6
Rv2303c,,antibiotic-resistance protein,-,2575019,2575319,300,0.6466666666666666
Rv2304c,,hypothetical protein,-,2575225,2575525,300,0.68
Rv2305,,hypothetical protein,+,2575508,2575808,300,0.6666666666666666
Rv2307c,,hypothetical protein,-,2578696,2578996,300,0.6433333333333333
Rv2307A,,hypothetical protein,-,2579419,2579503,84,0.5357142857142857
Rv2307B,,hypothetical protein,-,2579935,2580027,92,0.6413043478260869
Rv2307D,,hypothetical protein,-,2580210,2580418,208,0.5961538461538461
Rv2308,,hypothetical protein,+,2580210,2580418,208,0.5961538461538461
Rv2309A,,hypothetical protein,+,2582744,2583044,300,0.6133333333333333
Rv2310,,excisionase,+,2583332,2583434,102,0.7647058823529411
Rv2311,,hypothetical protein,+,2583779,2583883,104,0.6538461538461539
Rv2312,,hypothetical protein,+,2584408,2584485,77,0.5844155844155844
Rv2320c,rocE,cationic amino acid transporter permease RocE,-,2594153,2594453,300,0.6466666666666666
Rv2323c,,hypothetical protein,-,2596269,2596333,64,0.515625
Rv2324,,AsnC family transcriptional regulator,+,2596269,2596333,64,0.515625
Rv2328,PE23,PE family protein PE23,+,2600479,2600730,251,0.5856573705179283
Rv2329c,narK1,nitrate/nitrite transporter,-,2603461,2603694,233,0.5407725321888412
Rv2330c,lppP,lipoprotein LppP,-,2604222,2604296,74,0.527027027027027
Rv2331,,hypothetical protein,+,2604222,2604296,74,0.527027027027027
Rv2331A,,hypothetical protein,+,2604683,2604739,56,0.6964285714285714
Rv2333c,stp,multidrug resistance protein,-,2608321,2608621,300,0.6266666666666667
Rv2334,cysK1,O-acetylserine sulfhydrylase,+,2608495,2608795,300,0.63
Rv2336,,hypothetical protein,+,2610536,2610836,300,0.5366666666666666
Rv2337c,,hypothetical protein,-,2612987,2613106,119,0.5714285714285714
